date,video_id,title,published_at,duration,total_views,daily_views,like_count,comment_count,category_id,live_broadcast_content,privacy_status,upload_status,tags
2026-06-23,V9ED1fR21U0,The Life of a Showgirl: The Crowd is Your King Edition only at Target,2025-09-30T19:57:21Z,PT31S,1045366,,72203,2405,10,none,public,processed,"[""taylor swift"", ""the life of a showgirl""]"
2026-06-23,9BTFD_gX6qQ,She’s got 4️⃣ days left to rehearse for her big moment… 😂,2025-09-29T13:14:31Z,PT31S,3664131,,161047,3020,10,none,public,processed,[]
2026-06-23,zqaLqctWP28,The Life of a Showgirl: The Tiny Bubbles in Champagne Vinyl Collection ❤️‍🔥,2025-08-25T20:02:56Z,PT16S,1659315,,72625,2429,10,none,public,processed,[]
2026-06-23,BLFnkfAc7iY,"The Life of a Showgirl: Baby, That’s Show Business Vinyl Collection is available now on my site❤️‍🔥",2025-08-21T18:04:53Z,PT16S,1378805,,60337,1295,10,none,public,processed,[]
2026-06-23,0Xh9s_3uRO8,The Life of a Showgirl: The Shiny Bug Vinyl Collection is available now on my site for 48 hours❤️‍🔥,2025-08-18T18:13:43Z,PT16S,1473337,,64955,1644,10,none,public,processed,[]
2026-06-23,w_DD-7_zVtw,"And, baby, that’s show business for you. New album The Life of a Showgirl. Out October 3  ❤️‍🔥",2025-08-14T05:00:58Z,PT8S,2557012,,127127,3136,10,none,public,processed,[]
2026-06-23,58zLBjzfd4M,The #TSSummer2025 collection. Available at store.taylorswift.com while supplies last! ☀️,2025-06-11T17:00:25Z,PT31S,1787861,,78087,2464,10,none,public,processed,[]
2026-06-23,P0haCYjysUs,Anti-Hero (Behind The Scenes with The Ghosts In The Room),2024-12-13T17:24:03Z,PT3M23S,1464132,,84254,6009,10,none,public,processed,"[""taylor swift"", ""midnights"", ""anti hero"", ""behind the scenes""]"
2026-06-23,PQp643val70,cardigan (behind the scenes - forest & ocean),2024-12-13T15:26:29Z,PT2M27S,912042,,71324,2757,10,none,public,processed,[]
2026-06-23,-ddfFsLHNQs,"Anti-Hero (Behind the Scenes with Mike Birbiglia, John Early & Mary Elizabeth Ellis)",2024-12-13T15:04:17Z,PT3M21S,691927,,52710,1809,10,none,public,processed,"[""taylor swift"", ""antihero"", ""midnights""]"
2026-06-23,0GeyBM6NS5s,Bejeweled (Behind the Scenes with Dita Von Teese),2024-12-13T15:04:04Z,PT3M12S,2123880,,82513,2000,10,none,public,processed,"[""taylor swift"", ""bejeweled"", ""dita von teese""]"
2026-06-23,UAtpbCEsJlA,"Bejeweled (Behind the Scenes with Jack Antonoff, HAIM & Pat McGrath)",2024-12-13T15:03:50Z,PT2M31S,750100,,50939,1285,10,none,public,processed,"[""taylor swift"", ""haim"", ""jack antonoff"", ""pat mcgrath""]"
2026-06-23,K-8dOw7yuPo,Bejeweled (Behind the Scenes with Laura Dern),2024-12-13T15:03:35Z,PT4M7S,725785,,56713,1319,10,none,public,processed,"[""taylor swift"", ""bejeweled"", ""Laura Dern""]"
2026-06-23,w04K8z_nfDI,"Fortnight (Behind the Scenes with Post Malone, Ethan Hawke & Josh Charles)",2024-12-13T15:03:06Z,PT3M49S,934442,,79899,4553,10,none,public,processed,[]
2026-06-23,AFzzgQ7uCw4,"I Can See You (From The Vault) (Behind the Scenes with Joey King, Taylor Lautner & Presley Cash)",2024-12-13T15:02:50Z,PT3M22S,768381,,72207,3159,10,none,public,processed,"[""taylor swift"", ""speak now taylors version"", ""joey king"", ""taylor lautner""]"
2026-06-23,ZwK7hrDC5UM,Karma (feat. Ice Spice) (Behind the Scenes),2024-12-13T15:02:32Z,PT3M14S,880699,,79139,3153,10,none,public,processed,"[""taylor swift"", ""karma"", ""behind the scenes""]"
2026-06-23,g_meC49cN5k,Back in the office… 😎 #MiamiTSTheErasTour,2024-10-18T14:20:25Z,PT18S,3922178,,249103,14514,10,none,public,processed,[]
2026-06-23,yj1_GJiJovg,"October 15, 2024",2024-10-15T12:33:56Z,PT31S,2241893,,187381,5899,10,none,public,processed,[]
2026-06-23,b6zPqm0lLQs,Taylor Swift - I Can Do It With A Broken Heart (Dombresky Remix),2024-09-13T04:00:26Z,PT3M11S,1038929,,46452,4681,10,none,public,processed,[]
2026-06-23,VCTze4UuC9g,✨ NOW PLAYING ✨ The “I Can Do It With A Broken Heart” Music Video 🤍,2024-08-20T22:15:57Z,PT38S,4998771,,304885,6949,10,none,public,processed,[]
2026-06-23,Sl6en1NPTYM,Taylor Swift - I Can Do It With A Broken Heart (Official Video),2024-08-20T22:00:07Z,PT3M43S,44605444,,987419,47100,10,none,public,processed,"[""taylor swift"", ""i can do it with a broken heart"", ""the tortured poets department""]"
2026-06-23,PQTA-EVc5DI,Taylor Swift - Fortnight (feat. Post Malone) (Cults Remix),2024-07-09T04:00:20Z,PT3M20S,1470497,,35881,5044,10,none,public,processed,"[""taylor swift"", ""fortnight"", ""taylor swift remix"", ""post malone remix""]"
2026-06-23,HZIg5sQrPAM,Taylor Swift - Fortnight (feat. Post Malone) (Acoustic),2024-07-09T04:00:14Z,PT3M49S,2691725,,88307,5060,10,none,public,processed,"[""taylor swift"", ""post malone"", ""taylor swift acoustic"", ""taylor swift ttpd"", ""ttpd acoustic""]"
2026-06-23,0GQ_QeZxdzo,Taylor Swift - Fortnight (feat. Post Malone) (Behind the Scenes),2024-06-21T13:00:00Z,PT3M40S,3807563,,172172,7497,10,none,public,processed,[]
2026-06-23,KJXP13hqf2I,Taylor Swift - Fortnight (feat Post Malone) (BLOND:ISH Remix),2024-05-22T00:00:43Z,PT3M42S,3060405,,75307,6449,10,none,public,processed,[]
2026-06-23,ZwlBxvnH-So,A fortnight since TTPD 🤍 brought to you by YouTube Shorts #ForAFortnightChallenge,2024-05-03T17:31:46Z,PT16S,32306141,,1376944,16090,10,none,public,processed,[]
2026-06-23,F0TUVujmtxY,A fortnight til Paris 🤍 Brought to you by YouTube Shorts #ForAFortnightChallenge,2024-04-25T21:58:39Z,PT16S,35958064,,1925184,20313,10,none,public,processed,[]
2026-06-23,AtDCWnV_Vzo,A fortnight making TTPD 🤍 Brought to you by YouTube Shorts #ForAFortnightChallenge,2024-04-22T20:30:56Z,PT16S,36385441,,1904100,19622,10,none,public,processed,[]
2026-06-23,BpkmUfv1I4Q,Taylor Swift - I Hate It Here (Official Lyric Video),2024-04-20T00:10:39Z,PT4M8S,8652564,,110014,5195,10,none,public,processed,"[""taylor swift i hate it here"", ""i hate it here taylor swift"", ""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department""]"
2026-06-23,56TZ3B8Qxsk,Taylor Swift - The Black Dog (Official Lyric Video),2024-04-20T00:10:34Z,PT4M4S,11816992,,100404,2980,10,none,public,processed,"[""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department""]"
2026-06-23,2hBLC7E8v3A,Share your “fortnight” recap with #ForAFortnightChallenge 🤍 brought to you by YouTube Shorts,2024-04-20T00:02:45Z,PT16S,125513926,,4499914,47156,10,none,public,processed,[]
2026-06-23,iMMUAd66vxo,Taylor Swift - The Alchemy (Official Lyric Video),2024-04-20T00:00:34Z,PT3M22S,19985418,,119543,2942,10,none,public,processed,"[""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department"", ""taylor swift lyrics"", ""the tortured poets department""]"
2026-06-23,vOZFiX6hDXQ,Taylor Swift - Who’s Afraid of Little Old Me? (Official Lyric Video),2024-04-20T00:00:33Z,PT5M39S,33145292,,235593,7532,10,none,public,processed,"[""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department"", ""taylor swift lyrics"", ""the tortured poets department""]"
2026-06-23,uEssK8o3jKg,Taylor Swift - Florida!!! (feat. Florence + The Machine) (Official Lyric Video),2024-04-20T00:00:31Z,PT3M40S,16188847,,121514,3713,10,none,public,processed,"[""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department"", ""taylor swift lyrics"", ""the tortured poets department""]"
2026-06-23,bAi80EylyXQ,Taylor Swift - The Bolter (Official Lyric Video),2024-04-20T00:00:26Z,PT4M3S,7721829,,62449,1621,10,none,public,processed,"[""taylor swift the bolter"", ""the bolter taylor swift"", ""the bolter lyrics"", ""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department"", ""taylor swift lyrics"", ""taylor swift songs""]"
2026-06-23,iY6Qhlua8Zw,Taylor Swift - The Manuscript (Official Lyric Video),2024-04-20T00:00:26Z,PT3M49S,3119947,,46234,1268,10,none,public,processed,"[""taylor swift the manuscript"", ""the manuscript taylor swift"", ""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department"", ""taylor swift lyrics"", ""the tortured poets department""]"
2026-06-23,_PsBoqNwYo4,Taylor Swift - The Prophecy (Official Lyric Video),2024-04-20T00:00:25Z,PT4M14S,20696652,,131506,3358,10,none,public,processed,"[""The Prophecy"", ""taylor swift the prophecy"", ""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department""]"
2026-06-23,wRKXAAV6jh4,Taylor Swift - My Boy Only Breaks His Favorite Toys (Official Lyric Video),2024-04-20T00:00:25Z,PT3M29S,28024750,,156080,3610,10,none,public,processed,"[""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department"", ""taylor swift lyrics"", ""the tortured poets department""]"
2026-06-23,RQMz4JDbtmI,Taylor Swift - The Tortured Poets Department (Official Lyric Video),2024-04-20T00:00:24Z,PT4M58S,19530404,,167733,5606,10,none,public,processed,"[""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department"", ""taylor swift lyrics"", ""the tortured poets department""]"
2026-06-23,w-FkV0EM_CU,Taylor Swift -  So High School (Official Lyric Video),2024-04-20T00:00:23Z,PT3M55S,29157118,,185250,5502,10,none,public,processed,"[""taylor swift so high school"", ""so high school"", ""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department""]"
2026-06-23,oaBJlKXBvjk,Taylor Swift - thanK you aIMee (Official Lyric Video),2024-04-20T00:00:20Z,PT4M30S,6513967,,80222,4064,10,none,public,processed,"[""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department"", ""thanK you aIMee"", ""taylor swift thanK you aIMee""]"
2026-06-23,gOtOWeD9YJk,Taylor Swift - Chloe or Sam or Sophia or Marcus (Official Lyric Video),2024-04-20T00:00:18Z,PT3M39S,7219377,,60680,1740,10,none,public,processed,"[""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department"", ""Chloe or Sam or Sophia or Marcus""]"
2026-06-23,fcVUbmdQfaE,Taylor Swift - Clara Bow (Official Lyric Video),2024-04-20T00:00:17Z,PT3M42S,7285380,,60148,1610,10,none,public,processed,"[""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department"", ""taylor swift lyrics"", ""the tortured poets department""]"
2026-06-23,i8_w_m6HLJ0,Taylor Swift - I Can Do It With a Broken Heart (Official Lyric Video),2024-04-20T00:00:17Z,PT3M43S,35618987,,322754,7397,10,none,public,processed,"[""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department"", ""taylor swift lyrics"", ""the tortured poets department""]"
2026-06-23,OKWfv-x2rdU,Taylor Swift - I Can Fix Him (No Really I Can) (Official Lyric Video),2024-04-20T00:00:16Z,PT2M41S,6807757,,53149,1254,10,none,public,processed,"[""taylor swift"", ""taylor"", ""swift"", ""taylor swift ttpd"", ""tortured poets department"", ""new taylor swift"", ""taylor swift album"", ""ts ttpd"", ""ttpd anthology"", ""taylor swift tortured poets department"", ""taylor swift lyrics"", ""the tortured poets department""]"
