artist_id,artist_name,gender,type
0QntOArZgiNHoemAzwJPu5,Gur Sidhu,NF,solo
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,NF,GROUP
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,NF,GROUP
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,NF,GROUP
3a1tBryiczPAZpgoZN9Rzg,Asake,NF,solo
5J7rXWjtn5HzUkJ4Jet8Fr,Alvaro Diaz,NF,solo
12Chz98pHFMPJEknJQMWvI,Muse,NF,GROUP
1bfl0AU8SqmLkElptOprhC,Julión Álvarez y su Norteño Banda,NF,GROUP
4PPoI9LuYeFX8V674Z1R6l,Vicente Fernández,NF,solo
21E3waRsmPlU7jZsS13rcj,Ne-Yo,NF,solo
50co4Is1HCEo8bhOyUWKpn,Young Thug,NF,solo
4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,NF,solo
2FXC3k01G6Gw61bmprjgqS,Hozier,NF,solo
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,NF,GROUP
2WjzL05RyqIk5n53sZc9nf,manifest,NF,solo
74XFHRwlV6OrjEM0A2NCMF,Paramore,NF,GROUP
23zg3TcAtWQy7J6upgbUnj,USHER,NF,solo
6Wlvsn3IPHiZwAv02lB5eC,Ícaro e Gilmar,NF,GROUP
6DARBhWbfcS9E4yJzcliqQ,Karan Aujla,NF,solo
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,NF,solo
6nVcHLIgY5pE2YCl8ubca1,JHAYCO,NF,solo
1qto4hHid1P71emI6Fd8xi,Aventura,NF,GROUP
51kyrUsAVqUBcoDEMFkX12,Hindia,NF,solo
1vCWHaC5f2uS3yhpwWbIA6,Avicii,NF,solo
2C6i0I5RiGzDKN9IAF8reh,Banda MS de Sergio Lizárraga,NF,GROUP
3m49WVMU4zCkaVEKb8kFW7,Ilaiyaraaja,NF,solo
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,F,solo
6LqNN22kT3074XbTVUrhzX,Kesha,F,solo
1XYuC1vxinTjHCNd5clB8C,ARASHI,NF,GROUP
1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,NF,GROUP
4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi,NF,solo
23fqKkggKUBHNkbKtXEls4,Kygo,NF,solo
0SD4eZCN4Kr0wQk56hCdh2,Bonnie Tyler,F,solo
7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,NF,GROUP
1GMwSpFzrLd12jUX15bHB6,BLOK3,NF,solo
0jnsk9HBra6NMjO2oANoPY,Flo Rida,NF,solo
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,F,solo
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,F,solo
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,NF,solo
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,NF,solo
1ebt9HnXdyYA6KgLXr1n4P,CORTIS,NF,solo
5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,NF,GROUP
77Zc5MMUIMJriEDAcaDspi,LOS DOS DE TAMAULIPAS,,
32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton,,
5jJrJU7VVmxQQLcLAmmxXc,Sai Abhyankkar,,
4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers,,
