date,token,saved_at
2021-11-15,rate_limit,429,deferred; slept 15.0s,1775525505
2021-11-16,rate_limit,429,deferred; slept 15.0s,1775525520
2021-11-17,rate_limit,429,deferred; slept 15.0s,1775525535
2021-11-18,rate_limit,429,deferred; slept 15.0s,1775525550
2021-11-19,rate_limit,429,deferred; slept 15.0s,1775525566
2021-11-20,rate_limit,429,deferred; slept 15.0s,1775525581
2021-12-01,upstream,500,"Unexpected status 500 for 2021-12-01: {""code"":13,""message"":""Internal Server Error"",""details"":[]}",1775525610
2021-12-28,rate_limit,429,deferred; slept 15.0s,1775525620
2021-12-29,rate_limit,429,deferred; slept 15.0s,1775525635
2021-12-30,rate_limit,429,deferred; slept 15.0s,1775525650
2021-12-31,rate_limit,429,deferred; slept 15.0s,1775525665
2022-01-01,rate_limit,429,deferred; slept 15.0s,1775525681
2022-01-02,rate_limit,429,deferred; slept 15.0s,1775525696
2022-01-03,rate_limit,429,deferred; slept 15.0s,1775525711
2022-02-11,rate_limit,429,deferred; slept 15.0s,1775525741
2022-02-12,rate_limit,429,deferred; slept 15.0s,1775525756
2022-02-13,rate_limit,429,deferred; slept 15.0s,1775525771
2022-02-14,rate_limit,429,deferred; slept 15.0s,1775525786
2022-02-15,rate_limit,429,deferred; slept 15.0s,1775525802
2022-02-16,rate_limit,429,deferred; slept 15.0s,1775525817
2022-02-17,rate_limit,429,deferred; slept 15.0s,1775525832
2022-02-20,rate_limit,429,deferred; slept 15.0s,1775525848
2022-02-21,rate_limit,429,deferred; slept 15.0s,1775525864
2022-02-22,rate_limit,429,deferred; slept 15.0s,1775525879
2022-02-23,rate_limit,429,deferred; slept 15.0s,1775525894
2022-02-24,rate_limit,429,deferred; slept 15.0s,1775525909
2022-02-25,rate_limit,429,deferred; slept 15.0s,1775525924
2022-02-26,rate_limit,429,deferred; slept 15.0s,1775525940
2022-04-03,rate_limit,429,deferred; slept 15.0s,1775525968
2022-04-04,rate_limit,429,deferred; slept 15.0s,1775525983
2022-04-05,rate_limit,429,deferred; slept 15.0s,1775525998
2022-04-06,rate_limit,429,deferred; slept 15.0s,1775526013
2022-04-07,rate_limit,429,deferred; slept 15.0s,1775526029
2022-04-08,rate_limit,429,deferred; slept 15.0s,1775526044
2022-04-09,rate_limit,429,deferred; slept 15.0s,1775526059
2022-05-18,rate_limit,429,deferred; slept 15.0s,1775526088
2022-05-19,rate_limit,429,deferred; slept 15.0s,1775526103
2022-05-20,rate_limit,429,deferred; slept 15.0s,1775526119
2022-05-21,rate_limit,429,deferred; slept 15.0s,1775526134
2022-05-22,rate_limit,429,deferred; slept 15.0s,1775526149
2022-05-23,rate_limit,429,deferred; slept 15.0s,1775526164
2022-05-24,rate_limit,429,deferred; slept 15.0s,1775526180
2022-05-27,rate_limit,429,deferred; slept 15.0s,1775526196
2022-05-28,rate_limit,429,deferred; slept 15.0s,1775526211
2022-05-29,rate_limit,429,deferred; slept 15.0s,1775526226
2022-05-30,rate_limit,429,deferred; slept 15.0s,1775526241
2022-05-31,rate_limit,429,deferred; slept 15.0s,1775526256
2022-06-01,rate_limit,429,deferred; slept 15.0s,1775526272
2022-06-02,rate_limit,429,deferred; slept 15.0s,1775526287
2022-07-09,rate_limit,429,deferred; slept 15.0s,1775526315
2022-07-10,rate_limit,429,deferred; slept 15.0s,1775526330
2022-07-11,rate_limit,429,deferred; slept 15.0s,1775526346
2022-07-12,rate_limit,429,deferred; slept 15.0s,1775526361
2022-07-13,rate_limit,429,deferred; slept 15.0s,1775526376
2022-07-14,rate_limit,429,deferred; slept 15.0s,1775526391
2022-07-15,rate_limit,429,deferred; slept 15.0s,1775526406
2022-08-23,rate_limit,429,deferred; slept 15.0s,1775526435
2022-08-24,rate_limit,429,deferred; slept 15.0s,1775526451
2022-08-25,rate_limit,429,deferred; slept 15.0s,1775526466
2022-08-26,rate_limit,429,deferred; slept 15.0s,1775526481
2022-08-27,rate_limit,429,deferred; slept 15.0s,1775526496
2022-08-28,rate_limit,429,deferred; slept 15.0s,1775526512
2022-08-29,rate_limit,429,deferred; slept 15.0s,1775526527
2022-09-01,rate_limit,429,deferred; slept 15.0s,1775526543
2022-09-02,rate_limit,429,deferred; slept 15.0s,1775526558
2022-09-03,rate_limit,429,deferred; slept 15.0s,1775526573
2022-09-04,rate_limit,429,deferred; slept 15.0s,1775526589
2022-09-05,rate_limit,429,deferred; slept 15.0s,1775526604
2022-09-06,rate_limit,429,deferred; slept 15.0s,1775526619
2022-09-07,rate_limit,429,deferred; slept 15.0s,1775526634
2022-10-14,rate_limit,429,deferred; slept 15.0s,1775526662
2022-10-15,rate_limit,429,deferred; slept 15.0s,1775526678
2022-10-16,rate_limit,429,deferred; slept 15.0s,1775526693
