date,error_type,http_status,message,saved_at
2017-09-17,rate_limit,429,deferred; slept 30.0s,1775341225
2017-09-18,rate_limit,429,deferred; slept 30.0s,1775341255
2017-09-19,rate_limit,429,deferred; slept 30.0s,1775341286
2017-09-20,rate_limit,429,deferred; slept 30.0s,1775341317
2017-10-30,rate_limit,429,deferred; slept 30.0s,1775341394
2017-10-31,rate_limit,429,deferred; slept 30.0s,1775341425
2017-11-01,rate_limit,429,deferred; slept 30.0s,1775341456
2017-11-02,rate_limit,429,deferred; slept 30.0s,1775341486
2017-12-13,rate_limit,429,deferred; slept 30.0s,1775341564
2017-12-14,rate_limit,429,deferred; slept 30.0s,1775341594
2017-12-15,rate_limit,429,deferred; slept 30.0s,1775341625
2017-12-16,rate_limit,429,deferred; slept 30.0s,1775341655
2018-01-25,rate_limit,429,deferred; slept 30.0s,1775341732
2018-01-26,rate_limit,429,deferred; slept 30.0s,1775341762
2018-01-27,rate_limit,429,deferred; slept 30.0s,1775341793
2018-01-28,rate_limit,429,deferred; slept 30.0s,1775341823
2018-03-08,rate_limit,429,deferred; slept 30.0s,1775341898
2018-03-09,rate_limit,429,deferred; slept 30.0s,1775341929
2018-03-10,rate_limit,429,deferred; slept 30.0s,1775341960
2018-03-11,rate_limit,429,deferred; slept 30.0s,1775341990
2018-04-21,rate_limit,429,deferred; slept 30.0s,1775342067
2018-04-22,rate_limit,429,deferred; slept 30.0s,1775342098
2018-04-23,rate_limit,429,deferred; slept 30.0s,1775342129
2018-04-24,rate_limit,429,deferred; slept 30.0s,1775342159
2018-06-03,rate_limit,429,deferred; slept 30.0s,1775342236
2018-06-04,rate_limit,429,deferred; slept 30.0s,1775342267
2018-06-05,rate_limit,429,deferred; slept 30.0s,1775342297
2018-06-06,rate_limit,429,deferred; slept 30.0s,1775342328
2018-07-17,rate_limit,429,deferred; slept 30.0s,1775342406
2018-07-18,rate_limit,429,deferred; slept 30.0s,1775342436
2018-07-19,rate_limit,429,deferred; slept 30.0s,1775342467
2018-07-20,rate_limit,429,deferred; slept 30.0s,1775342497
2018-08-29,rate_limit,429,deferred; slept 30.0s,1775342574
2018-08-30,rate_limit,429,deferred; slept 30.0s,1775342604
2018-08-31,rate_limit,429,deferred; slept 30.0s,1775342635
2018-09-01,rate_limit,429,deferred; slept 30.0s,1775342666
2018-10-12,rate_limit,429,deferred; slept 30.0s,1775342743
2018-10-13,rate_limit,429,deferred; slept 30.0s,1775342773
2018-10-14,rate_limit,429,deferred; slept 30.0s,1775342804
2018-10-15,auth,,auth error,1775342854
2018-11-24,rate_limit,429,deferred; slept 30.0s,1775342900
2018-11-25,rate_limit,429,deferred; slept 30.0s,1775342931
2018-11-26,rate_limit,429,deferred; slept 30.0s,1775342961
2018-11-27,rate_limit,429,deferred; slept 30.0s,1775342992
2019-01-07,rate_limit,429,deferred; slept 30.0s,1775343069
2019-01-08,rate_limit,429,deferred; slept 30.0s,1775343100
2019-01-09,rate_limit,429,deferred; slept 30.0s,1775343131
2019-01-10,rate_limit,429,deferred; slept 30.0s,1775343161
2019-02-19,rate_limit,429,deferred; slept 30.0s,1775343237
2019-02-20,rate_limit,429,deferred; slept 30.0s,1775343268
2019-02-21,rate_limit,429,deferred; slept 30.0s,1775343299
2019-02-22,rate_limit,429,deferred; slept 30.0s,1775343329
2019-04-05,rate_limit,429,deferred; slept 30.0s,1775343408
2019-04-06,rate_limit,429,deferred; slept 30.0s,1775343438
2019-04-07,rate_limit,429,deferred; slept 30.0s,1775343469
2019-04-08,rate_limit,429,deferred; slept 30.0s,1775343500
2019-05-18,rate_limit,429,deferred; slept 30.0s,1775343576
2019-05-19,rate_limit,429,deferred; slept 30.0s,1775343606
2019-05-20,rate_limit,429,deferred; slept 30.0s,1775343637
2019-05-21,rate_limit,429,deferred; slept 30.0s,1775343668
2019-07-01,rate_limit,429,deferred; slept 30.0s,1775343745
2019-07-02,rate_limit,429,deferred; slept 30.0s,1775343775
2019-07-03,rate_limit,429,deferred; slept 30.0s,1775343806
2019-07-04,rate_limit,429,deferred; slept 30.0s,1775343837
2019-08-13,rate_limit,429,deferred; slept 30.0s,1775343914
2019-08-14,rate_limit,429,deferred; slept 30.0s,1775343945
2019-08-15,rate_limit,429,deferred; slept 30.0s,1775343976
2019-08-16,rate_limit,429,deferred; slept 30.0s,1775344007
2019-09-26,rate_limit,429,deferred; slept 30.0s,1775344083
2019-09-27,rate_limit,429,deferred; slept 30.0s,1775344114
2019-09-28,rate_limit,429,deferred; slept 30.0s,1775344144
2019-09-29,rate_limit,429,deferred; slept 30.0s,1775344175
2019-11-08,rate_limit,429,deferred; slept 30.0s,1775344251
2019-11-09,rate_limit,429,deferred; slept 30.0s,1775344281
2019-11-10,rate_limit,429,deferred; slept 30.0s,1775344312
2019-11-11,rate_limit,429,deferred; slept 30.0s,1775344343
2019-12-22,rate_limit,429,deferred; slept 30.0s,1775344419
2019-12-23,rate_limit,429,deferred; slept 30.0s,1775344450
2019-12-24,rate_limit,429,deferred; slept 30.0s,1775344480
2019-12-25,rate_limit,429,deferred; slept 30.0s,1775344511
2020-02-03,rate_limit,429,deferred; slept 30.0s,1775344586
