title,track_id,spotify_url,previous_streams,new_streams,delta,reason,raw
I Can Fix Him (No Really I Can),5chnRTB9qMK3W1M41SnU9s,https://open.spotify.com/track/5chnRTB9qMK3W1M41SnU9s,184845949,184845949,0,same_total,184845949
New Romantics (Taylor's Version),5M787RexsAiVYjQusM98CV,https://open.spotify.com/track/5M787RexsAiVYjQusM98CV,219341825,219341825,0,same_total,219341825
I Can See You (Taylor's Version) (From The Vault),5kHMfzgLZP95O9NBy0ku4v,https://open.spotify.com/track/5kHMfzgLZP95O9NBy0ku4v,340630109,340630109,0,same_total,340630109
Clean (Taylor's Version),0lKUBmEyQfzsQHozyeXzES,https://open.spotify.com/track/0lKUBmEyQfzsQHozyeXzES,176618084,176618084,0,same_total,176618084
cowboy like me,1XjHRolIXL2M1EEOUsGGR4,https://open.spotify.com/track/1XjHRolIXL2M1EEOUsGGR4,256915098,256915098,0,same_total,256915098
Clara Bow,4d9PtIEVij9jW5OaLinH66,https://open.spotify.com/track/4d9PtIEVij9jW5OaLinH66,174457490,174457490,0,same_total,174457490
dorothea,670fUmXf4KQekzbEgaXyPA,https://open.spotify.com/track/670fUmXf4KQekzbEgaXyPA,230892856,230892856,0,same_total,230892856
gold rush,5BK0uqwY9DNfZ630STAEaq,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq,358376461,358376461,0,same_total,358376461
Bigger Than The Whole Sky,71CBDRKmF2VeRKYMG1DFBh,https://open.spotify.com/track/71CBDRKmF2VeRKYMG1DFBh,250060864,250060864,0,same_total,250060864
New Romantics,6rZVy6FIG7lSJQMFXHo12z,https://open.spotify.com/track/6rZVy6FIG7lSJQMFXHo12z,327965305,327965305,0,same_total,327965305
New Year's Day,7F5oktn5YOsR9eR5YsFtqb,https://open.spotify.com/track/7F5oktn5YOsR9eR5YsFtqb,271709934,271709934,0,same_total,271709934
The Albatross,4EF6IyONolQy0bIQXm2EmX,https://open.spotify.com/track/4EF6IyONolQy0bIQXm2EmX,143962844,143962844,0,same_total,143962844
Everything Has Changed,7gdwoOmi258QJq0hmQ4hto,https://open.spotify.com/track/7gdwoOmi258QJq0hmQ4hto,313357560,313357560,0,same_total,313357560
Welcome To New York (Taylor's Version),1hR8BSuEqPCCZfv93zzzz9,https://open.spotify.com/track/1hR8BSuEqPCCZfv93zzzz9,185000861,185000861,0,same_total,185000861
I Think He Knows,2YWtcWi3a83pdEg3Gif4Pd,https://open.spotify.com/track/2YWtcWi3a83pdEg3Gif4Pd,345470707,345470707,0,same_total,345470707
ivy,19CSr8rwW05VJL2F91KFNK,https://open.spotify.com/track/19CSr8rwW05VJL2F91KFNK,285689045,285689045,0,same_total,285689045
Question...?,0heeNYlwOGuUSe7TgUD27B,https://open.spotify.com/track/0heeNYlwOGuUSe7TgUD27B,361765551,361765551,0,same_total,361765551
Last Kiss (Taylor's Version),59KOoHFcw5XfICnO57holu,https://open.spotify.com/track/59KOoHFcw5XfICnO57holu,136867257,136867257,0,same_total,136867257
"no body, no crime (feat. HAIM)",3RaT22zZsxVYxxKR7TAaYF,https://open.spotify.com/track/3RaT22zZsxVYxxKR7TAaYF,347297228,347297228,0,same_total,347297228
White Horse (Taylor's Version),5YL553x8sHderRBDlm3NM3,https://open.spotify.com/track/5YL553x8sHderRBDlm3NM3,153285753,153285753,0,same_total,153285753
I Look in People's Windows,1Zai5UJ2di3qEuR2HeT2s8,https://open.spotify.com/track/1Zai5UJ2di3qEuR2HeT2s8,130644804,130644804,0,same_total,130644804
All You Had To Do Was Stay (Taylor's Version),6GXgd1BPD9bUpqw5AntGV5,https://open.spotify.com/track/6GXgd1BPD9bUpqw5AntGV5,158740802,158740802,0,same_total,158740802
happiness,73YUReisjb3A9ActdLLjJQ,https://open.spotify.com/track/73YUReisjb3A9ActdLLjJQ,243888167,243888167,0,same_total,243888167
Picture To Burn,32mVHdy0bi1XKgr0ajsBlG,https://open.spotify.com/track/32mVHdy0bi1XKgr0ajsBlG,253215490,253215490,0,same_total,253215490
Sparks Fly (Taylor's Version),3MytWN8L7shNYzGl4tAKRp,https://open.spotify.com/track/3MytWN8L7shNYzGl4tAKRp,186380542,186380542,0,same_total,186380542
